conversation_id	condition	participant_gender	participant_age	utterance_id	parent_id	parent_info_need	parent_info_need_subtype	parent_text	utterance_text	info_need	info_need_subtype	nugget_1	nugget_2	nugget_3	excel_how_to	excel_recipe	wikipedia	serious_eats	stack_excahnge
o9UbVjHVrS	active	female	25-34	-NBMBkpjJC2G4KJL63wl	-NBMBebuy4h2k1PCFIhk	knowledge	science_knowledge	any chemical processes happening?	Actually yes.			0	0	"There is no definitive answer to this question as it would depend on the context surrounding the phrase ""Actually yes."" If the phrase is a standalone statement, then it does not contain any facts. However, if it is part of a larger text or conversation that includes factual information, then the number of facts contained within the text would need to be counted."	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMC7IC71CIU9dDtINb	-NBMBebuy4h2k1PCFIhk	knowledge	science_knowledge	any chemical processes happening?	The ingredients we are using for the breading here, affect the result and crispiness of the crust in an interesting way.			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMCLH115AfvXdeuKoN	-NBMC9GL0bSjA7d7S4j-	knowledge	science_knowledge	how so	Let's start with the cornstarch.			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMCjOdb6GfW-hu3F-h	-NBMC9GL0bSjA7d7S4j-	knowledge	science_knowledge	how so	Knowing that gluten—the network of proteins formed when flour meets water—is the most likely culprit that leads to a crust with an almost rock-like density.  First and foremost: cut the protein-rich wheat flour with cornstarch, a pure starch that adds moisture-absorbing capabilities to the breading without adding excess protein.			0	2	Two.	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMClFqXrbV8SFFMP0F	-NBMC9GL0bSjA7d7S4j-	knowledge	science_knowledge	how so	Replacing a quarter of the flour worked well.			0	1	1	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMCx39OYWlhtFo5_aV	 	 	 	 	Oh it is! Also baking powder is the second influencing factor!			1	2	2	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMDBYekza9tWwgxLH1	-NBMCymSIFRVIEyXzI63	knowledge	science_knowledge	how?	Adding a couple teaspoons of baking powder to the mix helps bring a bit of air to the mix, forming a crust that is lighter and crisper, with increased surface area (and we all know that more surface area = more crispness, right?).			1	3	3	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMDJ5g6IUp_3nLYPCi	-NBMCymSIFRVIEyXzI63	knowledge	science_knowledge	how?	The reason is: baking powder raises the pH of the skin, causing it to brown more efficiently and the thin film of protein-rich liquid around it to form microbubbles that can add crispness.			1	2	Two facts.	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMDUaGrK8xwLzxsk6o	-NBMCymSIFRVIEyXzI63	knowledge	science_knowledge	how?	So that's the magic behind baking powder :-D			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBME-GwNJS-GuJcGt2B	 	 	 	 	Do you want to hear another trick about how to make an extra-caggy coat?			0	0	0 (There are no facts in this text)	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMEHEcc5YdHZBTlP2e	-NBME47dysG4jViqohlN			yes	Once the chicken was breaded, the later batches always come out better than the earlier ones as bits of the flour mixture clump together, making for an extra-craggy coat.  Adding a couple tablespoons of buttermilk to the breading mix and working it in with your fingertips before dredging the chicken simulates this effect nicely.			0	2	2	1	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMETB2rrvI4MpFz3qk	-NBMEKuN-C86WQCb6Zxb	preparation	video	can you show me videos	Unfortunately not, but I can show you a picture:			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMETSRSCXs9XVP3kpy	-NBMEKuN-C86WQCb6Zxb	preparation	video	can you show me videos	https://www.seriouseats.com/thmb/h52be-jGnnuvtiBgP76D5eFTQoM=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__images__2015__07__20150715-fried-chicken-11-c013e3a64c094fdda5a1b0a77246195f.jpg			0	0	There are no facts in this text, only a link to an image.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMEoTYLo68Y_AUvdk2	-NBMEKuN-C86WQCb6Zxb	preparation	video	can you show me videos	That's how you add some buttermilk to the flour mixture.			0	1	1	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMF8vcfIrDLphxKlMD	-NBMF-3BYv92LYWGXTzN	knowledge	ingredient	what is buttermilk?	Buttermilk is a fermented dairy drink. Traditionally, it was the liquid left behind after churning butter out of cultured cream. However, most modern buttermilk is cultured. It is common in warm climates (including the Balkans, South Asia, the Middle East and the Southern United States) where unrefrigerated fresh milk sours quickly. Buttermilk can be drunk straight, and it can also be used in cooking. In making Soda bread, the acid in buttermilk reacts with the raising agent, sodium bicarbonate, to produce carbon dioxide which acts as the leavening agent. Buttermilk is also used in marination, especially of chicken and pork, which the lactic acid helps to tenderize, retain moisture and allows added flavors to permeate the meat.			7	7	7	0	0	2	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMFX--3N8SUNUwMdsN	 	 	 	 	Was it helpful? Or do you want to hear more?			0	0	0	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMGX5eVgptJN3zbwON	-NBMGMQOrrMflJFg1FA6			more please	Buttermilk is the byproduct of butter making.Butter is made by agitating cream resulting in clumps of fat and a milky white liquid that contains nearly no fat and some protein. If the cream was soured before (either by aging or by inoculating the cream with lactobacillae), the buttermilk will also be sour. If the butter was made from unfermented cream, the buttermilk will be mild.Uncultured buttermilk is rarely sold, even if butter is made commercially with regular cream, the resulting buttermilk is soured afterwards.As buttermilk is made from a fraction of whole milk (the cream), you could say it’s a part of soured milk. I outlined the process of butter making in this answer, that should also help understanding buttermilk.			7	8	8	0	0	0	0	1.0
o9UbVjHVrS	active	female	25-34	-NBMHAkyute0loU9x5Cy	 	 	 	 	Any further questions?			0	0	0. There are no facts present in this text.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMHQdNcH-J58lGxLnd	-NBMHNUQsLHQZmTaHoyE			No thank you	Thanks :-D			0	0	There are no facts in this text, only an expression of gratitude. Therefore, the response is 0.	0	0	0	0	0.0
o9UbVjHVrS	active	female	25-34	-NBMHQdNcH-J58lGxLnd	-NBMHOHW--XvK8Aj_KCC			you've been great	Thanks :-D			0	0	There are no facts in this text, only an expression of gratitude. Therefore, the response is 0.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHeZwsWGPwRNH9Q1Fb	 	 	 	 	Hey there! Happy to have you on board for our masterclass :) Today you will be learning how to prepare a Savory Cheese Soufflé. Make sure you have all the ingredients and tools and feel free to ask questions. If you are ready to start cooking simply say start.			0	2	2	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHenPdUfRSosxyO9OA	 	 	 	 	Hi. How can I help you?			0	0	0. There are no facts in this text.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHf2BSsMlJyuFm0gNT	-NBHerIWw1GNFXMu1hb9			start	This is step 1. Let me know if you have any questions regarding this step.			0	1	1	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHf2BSsMlJyuFm0gNT	-NBHetbYzCC76mq_YOwD			start cooking	This is step 1. Let me know if you have any questions regarding this step.			0	1	1	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHf2BSsMlJyuFm0gNT	-NBHevaATffqccE0GJOo			ready	This is step 1. Let me know if you have any questions regarding this step.			0	1	1	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfLlt-SvftQTE1jup	-NBHfJosrREWUi1-66i4			Next	One second			0	1	There is only one fact in this text which is the measurement of time (one second). Therefore, the response is 1.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfLlt-SvftQTE1jup	-NBHfKl45JkHOPnIK2gI			NEXT	One second			0	1	There is only one fact in this text which is the measurement of time (one second). Therefore, the response is 1.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfNbeRe5O_i7t09Hi	-NBHfJosrREWUi1-66i4			Next	Let me answer your question first.			0	1	1	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfNbeRe5O_i7t09Hi	-NBHfKl45JkHOPnIK2gI			NEXT	Let me answer your question first.			0	1	1	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfe3qcckScMYdhqU6	-NBHfJosrREWUi1-66i4			Next	As specified, it my take up to one minute to receive a response. Please be patient			0	1	1	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfe3qcckScMYdhqU6	-NBHfKl45JkHOPnIK2gI			NEXT	As specified, it my take up to one minute to receive a response. Please be patient			0	1	1	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfpBpcCEwW3CggiT9	-NBHfG8JspiN_68_9iJ5	recipe		what is a souffle?	So a soufflé is a fundamentally simple thing that leverages the power of eggs to achieve impressive results.  All classic soufflés, sweet and savory, start with a base that provides richness and structure.  In savory soufflés, like the cheese soufflé I'm demonstrating here, the base is a thick béchamel sauce, usually calling for about three tablespoons flour per cup of milk.			3	3	3	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHfwN2jweVVRbbzJlT	-NBHfG8JspiN_68_9iJ5	recipe		what is a souffle?	Was it helpful?			0	0	0	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHgaTTMyjKIn7_e_8H	 	 	 	 	For the first step, I also want to highlight that using Parmigiano cheese there is quite important!			0	1	1	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHgmiJWMnloSLghKlk	-NBHgblOt5_cuIQcGDkh			next	Before going next, what do you think, why this type of cheese is a crucial factor there?			0	0	Zero.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHh2BCc9yZYlGrpD9t	-NBHgpEkYIR6fLoQhFvU			taste	To some extent yes. It helps to form a delicious crispy crust, but don't mix it into the soufflé itself. This it how it looks in the end:			0	1	"There is only one fact in this text: ""It helps to form a delicious crispy crust"""	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHh2VG9zjey0zg2DxX	-NBHgpEkYIR6fLoQhFvU			taste	https://www.seriouseats.com/thmb/aGIVYcfiQHMRCuaTwL9wj2Fpsa8=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2019__01__20190116-cheese-souffle-vicky-wasik-33-1500x1125-b86db36dac9d4bfaafa75d94c79b54b7.jpg			0	0	There are no facts in this text. It is simply a link to an image.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHh8k9FmKBWsC5k-l9	-NBHh5wzRACpTzAKDPUx			looks delicious	It does, right? :)			0	0	0	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHhHjHrXrJhfqXytk8	-NBHhDLIxBFkdc1wFoxX	knowledge	step_importance	why whisk constantly?	Excellent question!  Let me see...			0	0	0. There are no facts in this text.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHhlBVHSLeNtDv1yeA	-NBHhDLIxBFkdc1wFoxX	knowledge	step_importance	why whisk constantly?	As specified earlier, in savory soufflés, like the cheese soufflé, the base is a thick béchamel sauce, usually calling for about three tablespoons flour per cup of milk. By whisking it constantly you ensure that it turns into a silky but pourable sauce, like the gravy you get on biscuits.			1	2	2	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHi3P31KsGZsu4BXZB	 	 	 	 	But be careful. The amount of flour you are using here is also very crucial for the outcome!			0	1	1	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHigGRmaNXkLXOGVup	-NBHiPSIBSZAjzC7dlQQ			chill though bruv no need to be so serious	Sorry don't want to seem serious. I just want to emphasise this. Do you know why this is important?			0	0	0	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHiuqCd0JKbZ9aTFtu	-NBHilmlVDz6sjESJ_3M			no pray tell	Add too much more flour, for example, and your soufflé is going to start to resemble a cake; too little and it'll be too thin to hold its shape, spilling up and over the sides of its container.			0	2	2	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHjC7uTD5cY2n5-BZl	-NBHj6QnFACDFCJNbxsA	knowledge	equipment	why is the bowl heatproof?	Let me tell you			0	0	As an AI language model, I do not have access to the text on which this question is based. Please provide the text so that I can count the number of facts in it.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHjqRJORBTePvHfjvQ	-NBHj6QnFACDFCJNbxsA	knowledge	equipment	why is the bowl heatproof?	The reason is that you cooked the béchamel sauce in the step before. By pouring it into a heatproof mixing bowl you prevent damages that might come from the hot sauce.			0	2	Two.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHl1xjofreudY5b-CH	-NBHkaY6rxj3keCo6Tu1	knowledge	ingredient	why Dijon mustard?	It's something to do with the seasonings. Basically, along with the yolks go any seasonings you may want; they're not essential beyond salt and pepper, but you can punch up the flavor with a spoonful of mustard or a few dashes of hot sauce if you want.			0	2	2	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHlHqxpxnlDKv6xP5f	 	 	 	 	Seasonings are important here, but egg yolks are at the center of this step. Don't forget to add them since the make an important contribution to the success of the soufflé.			1	2	Two.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHlUycweBFwsuZ9waP	-NBHlKc8f7nI5W8YggO_			next	Before going next, what do you think is the important thing about the egg yolk?			0	0	0 facts.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHlrlKHBVAwmsJkUsK	-NBHlkDN4pqW4zqnxix2			i don't know	Egg yolks get whisked in for even more richness, and, when in the oven, coagulation—as the eggs cook, they set, just like when you fry or scramble them, allowing the soufflé to hold onto its loft for at least some time before deflating.			2	2	2	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHlvIfG0_NfA5lNmqB	 	 	 	 	interesting, right?			0	0	0	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHmmck1F9bCXuwjSgq	-NBHm-YHOjtA5CFkSWDh	knowledge	step_importance	why do we use cream of tatar?	Actually it's some sort of policy against over-beaten egg whites. You can either use an expensive copper egg-beating bowl, which helps form more stable beaten whites that are less prone to breaking and weeping (the copper interferes with too-strong sulfur bonds from forming). You can add a little cream of tartar to the whites, an acid that also prevents those sulfur bonds from forming.			0	2	2	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHmrTWB_TSzfXyGRlA	-NBHm-YHOjtA5CFkSWDh	knowledge	step_importance	why do we use cream of tatar?	So to sum it up, if you want an insurance policy against messed-up egg whites, copper or cream of tartar are good ideas.			0	1	1	1	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHn0irPW_DIsOOta2z	 	 	 	 	I'm curious. Did you try do make soufflés before?			0	0	0	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHn9JyDhIHBId5v-_A	-NBHn7BgVSLTzfuecejj			i will do now though	Happy to hear that.			0	0	0. There are no facts in the text.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHnHAjDosMFGiG1LoH	-NBHn9tNI92pqIFGB3h_			next	Before we proceed and since you want to do this anyway, I have another hint for you			0	0	Zero facts.	0	0	0	0	0.0
rEG2v4CE7m	active	male	35-44	-NBHnRK7I724bXIhPnR7	-NBHnJMAAe1RPBFePnc5			okay	When whisking the egg whites, the shape of the glossy peak is important.			1	1	1	0	0	0	0	0.0
