id	utterance	conv_id	age	gender	condition	gpt_3_nugget_count	chat_gpt_nugget_count	chat_gpt_explanation	age_group
-NKIxotvTAh-F0GWdM0G	That is a great question!  Kosher salt or kitchen salt is coarse edible salt without common additives such as iodine. Used in cooking and not at the table, it consists mainly of sodium chloride and may include anticaking agents.	pC0jYVl	45-54	male	passive	1	2	There are two facts in this text: 1. Kosher salt is coarse edible salt without common additives such as iodine. 2. Kosher salt is used in cooking and not at the table, it consists mainly of sodium chloride and may include anticaking agents.	45 or older
-NGzy3uXIdAbAZ3cb6Mn	https://www.seriouseats.com/thmb/G1-aj4JMB1X06y0HCIUS_jrqDLo=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2018__11__20181023-duck-a-l-orange-vicky-wasik-25-1500x1125-7c35b141135c4ca4bdcaa2d166e3614e.jpg	EioCaKa	18-24	male	passive	0	0	There are no facts in this text. It is a URL to an image.	younger than 45
-NKXoqy7X_3c4fjIcbeO	I'm sorry, I do not think I have this information	ea5def48	55-64	female	active	0	0	0	45 or older
-NKh-HXIiOoleaVbbwLM	I'm sorry, I do not think I have this information	7460a2a0	45-54	male	passive	0	0	0	45 or older
-NKgtazlvPLQ5RcpcD4O	You should obtain a relatively dense lump-free texture.	7460a2a0	45-54	male	passive	0	1	1	45 or older
-NH4jjEhFKjqKvM_017X	Let me see...	Fxikuau	45-54	male	passive	0	0	There is no factual information provided in the text, only an expression used to indicate that the speaker is thinking or considering something. Therefore, there are zero facts in this text.	45 or older
-NGgJwCHKyGYYIk4dPPb	Trim away any excess skin around the duck's neck and cavity openings. Cut off duck wingettes and wing tips at the joint, leaving the drumettes connected to the duck; remove neck and any giblets from the cavity. Refrigerate trimmed wing ends, neck, and spine (if using) until ready to make the sauce; reserve giblets and trimmed skin for another use, or discard.	xMKcudn	45-54	female	passive	0	5	There are 5 facts in this text: 1. Trim away any excess skin around the duck's neck and cavity openings. 2. Cut off duck wingettes and wing tips at the joint, leaving the drumettes connected to the duck. 3. Remove neck and any giblets from the cavity. 4. Refrigerate trimmed wing ends, neck, and spine (if using) until ready to make the sauce. 5. Reserve giblets and trimmed skin for another use, or discard.	45 or older
-NGgFIFG1oy1g6zIjxy9	Let me tell you	xMKcudn	45-54	female	passive	0	0	0. There is no factual information provided in the text.	45 or older
-NH-07url3EuZu1e0oy0	Sure! It should look like this:	EioCaKa	18-24	male	passive	0	1	There is only one fact in the given text.	younger than 45
-NGqCvERIuNhZV_RwIra	Basically, a small dollop of Dijon mustard to the dough also adds some flavorings, as well as chopped herbs.	INfBowH	35-44	male	active	1	1	1	younger than 45
-NGWWHmM7u4tR21lmrC7	Sounds like a solid approach, also for this apple pie recipe.	rfAHhxd	65-74	male	active	0	1	1	younger than 45
-NKdC8Wdf8sBVB2tJUyu	Sure!	c70f521	45-54	female	active	0	0	0	45 or older
-NKIE_IfNjOsIbFeKf6B	https://www.seriouseats.com/thmb/NqP2Gj25GTSYdLWhci93qECngwU=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2018__11__20181023-duck-a-l-orange-vicky-wasik-gastrique-1500x1125-37e03824291349569bb9548bbd65cc7d.jpg	1vNO49Y	35-44	male	active	0	0	There are zero facts in this text. It is only a URL.	younger than 45
-NKgrOIFsqHYKZgMmu85	https://www.seriouseats.com/thmb/PB8VYYepaY5BaN_EEOf_DyqFsrM=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2019__01__20190116-cheese-souffle-vicky-wasik-18-1500x1125-9784c7ecaa3542fd94e437a9c56df866.jpg	7460a2a0	45-54	male	passive	0	0	There are no facts in this text.	45 or older
-NH4ysELKY84CbxA6nwD	A soufflé will deflate as soon as it leaves the oven. Therefore, it is recommended to serve it immediatley.	nRHLDUQ	45-54	female	passive	1	2	Two.	45 or older
-NGX05Y4kQdXdoIoJTd2	I'm sorry, I do not think I have this information. If I need to guess, maybe doing two batches might work better.	PPmiUbC	55-64	male	passive	0	1	1	45 or older
-NKguAh9bRMa6kaOEOF3	You should add kosher salt and freshly ground black pepper to taste and  1/2 teaspoon cream of tartar (optional)	7460a2a0	45-54	male	passive	0	2	Two.	45 or older
-NGWcX7f7wvHNmweXkRR	What do you think, why should you do that?	rfAHhxd	65-74	male	active	0	0	0	younger than 45
-NGWXcEdgmtyJnyHv0jW	The zip-top bag trick is great, right?	rfAHhxd	65-74	male	active	0	1	1 fact.	younger than 45
-NKh0rMY0_cfx8wFEQpz	This is the last step in the recipe! Well done!	7460a2a0	45-54	male	passive	0	1	1	45 or older
-NGWXtXvZ1CMv0JfzXNG	Let me tell you	rfAHhxd	65-74	male	active	0	0	0	younger than 45
-NGqH8dRcNIQFesvlbw_	Once they're poached, you can transfer them to a rimmed baking sheet, toss them in a bit of oil, and let them cool down.  At this stage, they can be transferred to a sealed container and stored in the refrigerator for up to a few days until you're ready to fry or broil them just before serving. Just as with regular pasta, this means that if you make them in advance, dinner is only 20 to 30 minutes away.	INfBowH	35-44	male	active	0	3	Three.	younger than 45
-NGuuTDc75wPtAEQtB4I	Please note, that baking temperature here is significantly cooler compared to other fruit pies.	cegcgsG	55-64	female	active	0	1	1	45 or older
-NGvg9bPqnv2qMEh3jzK	Was it helpful?	tLrorpH	55-64	female	active	0	0	There are no facts in this text, only a question. Therefore, the answer is 0.	45 or older
-NGqBjZTA0Z9Boaor6Z7	Let me tell you	INfBowH	35-44	male	active	0	0	0	younger than 45
-NKIFKD0kuH0ikk2eGAE	Yes!  Blanching the orange zest in boiling water softens it and strips away some of its intensity	1vNO49Y	35-44	male	active	1	1	1	younger than 45
-NGvlJVJ7qFYEHDJOgRU	Silicone spatulas have become increasingly common in recent years. Silicone is heat-resistant at much higher temperatures—around 600°F (315°C), depending on whom you ask, as opposed to a ceiling under 400°F (200°C) for most nylon spatulas—flexible, and as nonstick as Teflon itself.  Also some people find that a silicone spatula is frequently better at getting the pan clean than a stiff spatula like a wooden one.	tLrorpH	55-64	female	active	3	3	3	45 or older
-NKcuQUCUYjm7Y6Wmadm	That's part of step 2. Let me show it to you.	68942e2a	65-74	male	passive	0	0	0	younger than 45
-NGqF5agYtV2FLRUOvy3	Ok then you can actually do that by hand. If not, use a stand mixer.  Cooked side-by-side, there's absolutely no detectable difference between the wooden spoon and the stand-mixer method, provided you beat extremely vigorously. If you're even slightly lax with the hand-beating, then the stand mixer method will produce superior results every time.	INfBowH	35-44	male	active	1	4	4	younger than 45
-NGqJaVluQcjLkMlP4Uz	For this, add gnocchi in a single layer and toss to coat with browned butter. Cover with cheese, then transfer to broiler. Cook until puffed and golden brown, about 10 minutes. Sprinkle with herbs and serve.	INfBowH	35-44	male	active	0	4	4	younger than 45
-NKXteQR9x0u2bo31keV	Would you like to go to the next step?	ea5def48	55-64	female	active	0	0	0	45 or older
-NKijKPSY_DSv-4tDR5H	Are you planning to spatchcock the duck?	a9780bf6	45-54	female	active	0	0	0	45 or older
-NKcv-8Q1RPSejhuWuZY	That's because in step 1 you are required to prepare the spice mixture required in step 2.	68942e2a	65-74	male	passive	0	1	1	younger than 45
-NGzzKvjF36yMhhK4NPX	A gastrique is a sweet-sour mixture of caramel and wine vinegar, added in small doses to a sauce to flavor it. When done right, the acidity is bright and sharp, but lightly rounded out by the darkened sugar.	EioCaKa	18-24	male	passive	1	2	2	younger than 45
-NHA4M8IB4icz5Zpuign	Alright, here we are at step 6 now :-)	ABFwuoU	45-54	female	active	0	1	1	45 or older
-NKXzvk6bI7NeiwrTNUS	This recipe closely follows the original pesto recipe.  The most famous, and the one we're talking about here, is pesto alla genovese, from the Ligurian city of Genoa and its environs.	ea5def48	55-64	female	active	1	2	2	45 or older
-NKXvipJ5X7Ne0AefbmB	By the way, you could also use a food processor for this process.	ea5def48	55-64	female	active	0	1	1	45 or older
-NGzy3icqsW8oXgv3AwR	Maybe something in this direction	EioCaKa	18-24	male	passive	0	0	0	younger than 45
-NH4Wba-fCsV28kcEQBa	"The first dish known to have been deep fried was fritters, which were popular in the European Middle Ages. However, it was the Scottish who were the first Europeans to deep fry their chicken in fat (though without seasoning). Meanwhile, a number of West African peoples had traditions of seasoned fried chicken (though battering and cooking the chicken in palm oil). Scottish frying techniques and West African seasoning techniques were combined by enslaved Africans and African-Americans in the American South. Interestingly, the Roman cookbook of ""Apicius"" (4th century) has a recipe for deep-fried chicken called ""Pullum Frontonianum"".  The American English expression ""fried chicken"" is first recorded in the 1830s, and frequently appears in American cookbooks of the 1860s and 1870s."	KlOmIXe	45-54	male	passive	7	6	6	45 or older
-NGLhfJoMBw8JO0hnY3s	Let me see...	LFiNVaQ	45-54	male	passive	0	0	0. There is no factual information provided in the given text.	45 or older
-NKimkGDiWC8dXX9oWXr	That's correct!  Duck handles high heat so well for two reasons. First, the meat all over is on the darker side, giving it a richer, oilier texture that can better withstand the drying effects of high temperatures. Second, and even more important, is the duck's luxuriously fatty skin, which insulates the meat and bathes it in mouth-coating rendered fat, ensuring each bite is unctuous.	a9780bf6	45-54	female	active	2	2	Two.	45 or older
-NGusrW9yg37mg1bueBX	Just keep those waves relaxed and loose, as a tighter crimp won't hold its shape as well with this style of pie.	cegcgsG	55-64	female	active	0	1	1	45 or older
-NHA4kTcFn0e6ky0wC8a	sure	ABFwuoU	45-54	female	active	0	0	0	45 or older
-NGvhvNETKqnphkjItVI	Simmering causes evaporation which thickens the sauce up.	tLrorpH	55-64	female	active	1	1	One.	45 or older
-NKXuoCjJRWHFPWs5dq_	And no, you just need to wash them once.	ea5def48	55-64	female	active	0	1	1	45 or older
-NH4rfFfwdXsH0OaBSSE	The earliest mention of the soufflé is attributed to French master cook  Vincent La Chapelle, in the early eighteenth century. The development and popularization of the soufflé is usually traced to French chef Marie-Antoine Carême in the early nineteenth century.	nRHLDUQ	45-54	female	passive	1	2	Two.	45 or older
-NKiKcFbm1v2OGd5BO6k	That's great to hear! Let me show you the first step!	4f7f5758	25-34	female	active	0	0	There are no facts in this text.	younger than 45
-NH-1-dd4mM8aQNFqCX7	Step 21: Add blanched zest and let very gently simmer for 1 minute to infuse into the sauce.	EioCaKa	18-24	male	passive	0	1	1	younger than 45
-NGWWckqgpFF_8BLyMuI	Can you imagine why?	rfAHhxd	65-74	male	active	0	0	0 (There are no facts stated in the text)	younger than 45
-NKiJ73tvVMMavJpZNI9	If you want to make the very best pesto, I would recommend using a mortar and pestle from the Mediterranean.	4f7f5758	25-34	female	active	0	1	1	younger than 45
-NGusLSYIOjoY9PUf5XU	but will you put it in a glass or ceramic pie shell?	cegcgsG	55-64	female	active	0	1	There is only one fact in this text: the question of whether to use a glass or ceramic pie shell.	45 or older
-NGW_fVHq_V_XDqD3o8B	The easiest option for the border is to tuck this excess dough up under the pie and be done with it, but if the dough is properly trimmed, you can do an old-school crimp.	rfAHhxd	65-74	male	active	0	1	"There is one fact in this text: ""The easiest option for the border is to tuck this excess dough up under the pie and be done with it, but if the dough is properly trimmed, you can do an old-school crimp."""	younger than 45
-NGLjKmOXfWQOD8ApzA1	If you want to proceed to the first step, let me know.	LFiNVaQ	45-54	male	passive	0	0	The text contains zero (0) factual statements.	45 or older
-NGqG58K8osIhNNrBKFN	Let me see...	INfBowH	35-44	male	active	0	0	0. This text does not contain any factual information or statements.	younger than 45
-NGutpZck0XIpcVsULa0	Let me see...	cegcgsG	55-64	female	active	0	0	0	45 or older
-NKI9TdHJiGnh_b3sVuf	That is a great question! Gelatin is an essential ingredient in sauces, as it creates a rich and lip-sticking texture which is essential in sauces	1vNO49Y	35-44	male	active	1	1	"There is only one fact in this text: ""Gelatin is an essential ingredient in sauces."""	younger than 45
-NH9x94SmFIU79YT93qU	Indeed, it is!  Brining is the process by which a lean meat (most often chicken, turkey, or pork) is submerged in a saltwater solution. As the meat sits, the saltwater will slowly dissolve key muscle proteins—most notably myosin, a protein that acts as a sort of glue, holding muscle fibers together).	ABFwuoU	45-54	female	active	1	2	2	45 or older
-NH9wC7CA7Tlw4dFoagc	Perfect. Do you want to proceed or do you have any questions so far?	ABFwuoU	45-54	female	active	0	0	0 (There are no facts in this text)	45 or older
-NKXrSgOzMmXjz_x0k-V	Not very creamy. Once you add the pine nuts and smack them down into crumbled bits, you should obtain a sticky beige paste when you grind them with the garlic.	ea5def48	55-64	female	active	0	2	Two.	45 or older
-NKXvIrVwQyJM-uAZ_jd	Yes exactly! You should end up with a beautiful light-green paste that's creamy, almost like guacamole.	ea5def48	55-64	female	active	0	1	1	45 or older
-NGWWvqJ-YoesPqDseLT	Yes, kind of, but there are other processes taking place:	rfAHhxd	65-74	male	active	0	1	"There is only one fact in this text: ""there are other processes taking place."""	younger than 45
-NKgrBx4tUjnSeDJcTp4	Gruyère is a hard yellow cheese made from cow's milk, named after the town of Gruyères.	7460a2a0	45-54	male	passive	1	1	1	45 or older
-NGupe2RXHYG1uKx2WBy	Why do you think it is important?	cegcgsG	55-64	female	active	0	0	0 (There are no factual statements in the provided text)	45 or older
-NGqJ3RaBu_o20wWX_0Y	The gnocchi can be transferred to a sealed container and stored in the refrigerator for up to a few days until you're ready to fry or broil them just before serving.	INfBowH	35-44	male	active	0	1	1	younger than 45
-NKctysmgMHTYAMgNBA2	Yes. It takes a bit of time as you'll have to first fry the chicken one piece at a time and then bake it.	68942e2a	65-74	male	passive	0	1	1	younger than 45
-NKXuBLaKBij0WeicK2_	Yes exactly! Adding small pinches of coarse sea salt is helpful here as salt acts as an abrasive that helps break down the basil.	ea5def48	55-64	female	active	0	1	There is only one fact in this text.	45 or older
-NGutBnmo4nftNNNWw3n	Almost. Chilling ensures the dough is cold to start, which keeps the crust flaky and light.	cegcgsG	55-64	female	active	0	2	2	45 or older
-NGvjC9xmgEF300AuyNg	Interesting question! Let me tell you	tLrorpH	55-64	female	active	0	0	0	45 or older
-NGWayT0_LrcVYFoRCPe	OK so maybe you need to bake at 80°C then.	rfAHhxd	65-74	male	active	0	1	"There is only one fact in this text: ""you need to bake at 80°C."""	younger than 45
-NKXxYH_2uME7EbYe66j	No in this context it does not matter as long as you add the olive oil in small increments to maintain the creamy emulsion.	ea5def48	55-64	female	active	0	0	0	45 or older
-NGWhWomHPE43JlNw8Lb	Hot apple pie fresh out of the oven might sound appealing, but letting it rest for a couple of hours will give you better results in the end. For one thing, most recipes are designed for optimum texture at room temperature. Slice that pie while it's too hot, and it'll be runny and wet instead of perfectly glazed and juicy. Pie crust also fares better at room temperature, where it'll have a flakier, crisper texture.	rfAHhxd	65-74	male	active	2	3	3	younger than 45
-NHA-Bw8xjPi3-_Qbb5I	Do you have any more questions about brining?	ABFwuoU	45-54	female	active	0	0	0 (There are no facts in this text.)	45 or older
-NHA0oECLVVnDSZc0R42	But there are also other techniques to make it even crispier :-)	ABFwuoU	45-54	female	active	0	0	0	45 or older
-NGWWRENdm2aypKKlkwq	By the way, notice that in this step putting apples into the bag is an important thing to do.	rfAHhxd	65-74	male	active	0	1	1	younger than 45
-NKct7NXR6foGQtd7pXx	There is no difference. Southern fried chicken, also known as fried chicken, is a dish consisting of chicken pieces which have been coated in a seasoned batter and pan-fried, deep fried, or pressure fried. The breading adds a crisp coating or crust to the exterior of the chicken while retaining juices in the meat. Broiler chickens are most commonly used.	68942e2a	65-74	male	passive	1	4	There are four facts in this text: 1. Southern fried chicken is also known as fried chicken. 2. It consists of chicken pieces coated in a seasoned batter and fried. 3. The breading adds a crisp coating or crust to the exterior of the chicken and retains juices in the meat. 4. Broiler chickens are most commonly used.	younger than 45
-NGvcJeRKr-M5PIgTyVl	Let me show you.	tLrorpH	55-64	female	active	0	0	There is no factual information in this text, so the answer is 0.	45 or older
-NGvaiDWT4yp9RrWivmZ	Let me see...	tLrorpH	55-64	female	active	0	0	0	45 or older
-NHA5Jm1jpIof14r3b3f	Let me see...	ABFwuoU	45-54	female	active	0	0	0 (There are no facts provided in this text)	45 or older
-NH9vf0JqyENgBa8C-Vg	I'm sorry, I do not think I have this information, but I can show you in the following steps how to do this.	ABFwuoU	45-54	female	active	0	0	0	45 or older
-NH4UhaP7Hk9AOoc-mhQ	This process is called brining.  As the meat sits, the saltwater will slowly dissolve key muscle proteins—most notably myosin, a protein that acts as a sort of glue, holding muscle fibers together.   An overnight brine will penetrate a few millimeters into the meat, giving you built-in seasoning before you ever get to the breading.  Brines also improve juiciness by increasing the muscles' ability to retain moisture. In this case, however, a much, much longer brining time was necessary in order to completely mitigate the effects of high-temperature frying, delivering a uniquely smooth, juicy texture to the meat.	KlOmIXe	45-54	male	passive	3	4	4	45 or older
-NGqHd7SoHf-3aib1xDH	Not yet, but the goal is to pipe and cut as many gnocchi as you possibly can within about a minute, so that the last gnocchi that drops in won't be too far behind the first one that entered the pool. Once they've finished cooking, you fish them out and start again with the next batch.	INfBowH	35-44	male	active	0	3	3	younger than 45
-NKID2RdzODHFA0gg7c8	Can you tell me why duck is one of those special creatures whose every part is just as delicious served well-done as pink?	1vNO49Y	35-44	male	active	0	0	There are zero facts in this text. It is a question and there is no information presented as a statement of fact.	younger than 45
-NKh-3xtFK8PEkIPIEmy	That's what causes a soufflé to rise	7460a2a0	45-54	male	passive	0	1	1	45 or older
-NJirM1DjjX7R0bqZsCn	Pecorino sardo, also known as fiore sardo, is a firm cheese from the Italian island of Sardinia which is made from sheep milk: specifically from the milk of the local Sardinian breed. Its flavour is different from that of the Pecorino Romano, which is also made on the island. Sardo is richer while romano is much more biting and salty.	sVzhG	45-54	female	passive	3	3	There are three facts in this text.	45 or older
-NGuptZ5_iZYxDU50fdU	But let's go on to the next step	cegcgsG	55-64	female	active	0	0	There are zero facts in this text.	45 or older
-NGvrq8PRGMLBVaBnjDY	The earliest mention of the soufflé is attributed to French master cook. Vincent La Chapelle, in the early eighteenth century. The development and popularization of the soufflé is usually traced to French chef Marie-Antoine Carême in the early nineteenth century.	tLrorpH	55-64	female	active	1	2	There are two facts in this text.	45 or older
-NKXt8ABQMy0jmSWBEyn	Let me show you the next step	ea5def48	55-64	female	active	0	0	There is 0 fact in this text.	45 or older
-NKif1iWYte6gInugGLR	I'm sorry, I do not think I have this information	a9780bf6	45-54	female	active	0	0	0 (There are no facts in this text.)	45 or older
-NKI74QYJOuZh8yUcupp	The beginning beginning takes us out of France and south to Italy. According to that history, Catherine de' Medici introduced some proto-duck à l'orange to France in 1533, when she moved there with her retinue of cooks to marry the Duke of Orléans.	1vNO49Y	35-44	male	active	1	2	2	younger than 45
-NGWb_7j4_OV2ic7wvD4	Meanwhile, lightweight metal, like aluminum, may speed things up so much that by the time the crust is golden brown, the apples may still be a little crunchy. Glass lands right in the middle, conducting heat at a brisk but not breakneck pace, so that the crust turns out flaky and crisp just as the apples cook through.	rfAHhxd	65-74	male	active	1	2	2	younger than 45
-NHA6HUK54ubvtXU--vm	You're welcome! :-)	ABFwuoU	45-54	female	active	0	0	Zero (0) - The text does not contain any facts, just a friendly response.	45 or older
-NKncQpcs1Pmnqbbj1_a	I'm sorry but I do not have a video for this recipe.	2424a396	45-54	female	active	0	1	1	45 or older
-NH9xlGpmsRScWAiE9Dt	Wow, seems that you're already an expert :-) You're right:  First, the ability of the meat to hold onto moisture increases.  Breading will help mitigate this effect to a degree by slowing down the transfer of energy to the meat, but a significant amount of squeezing is still going to occur regardless of how well breaded the chicken is. Myosin is one of the key proteins responsible for this squeezing action, so by dissolving it, you prevent a lot of moisture loss from taking place.	ABFwuoU	45-54	female	active	2	2	2	45 or older
-NKIvSK8NrrGExfhNKze	Do you have any question about the ingredients?	pC0jYVl	45-54	male	passive	0	0	0	45 or older
-NGqJiedEMtE7_uY6QKV	Best is to cover them in a blanket of finely grated Parmesan cheese.  After a brief stint under the broiler, they come out puffed and crisp, ready to be served straight out of their skillet.	INfBowH	35-44	male	active	0	2	2	younger than 45
-NGveb29BegV786dfHat	In savory soufflés, like the cheese soufflé here, the base is a thick béchamel sauce, usually calling for about three tablespoons flour per cup of milk.	tLrorpH	55-64	female	active	1	1	1	45 or older
-NKd-cUYJF3BsjZfsyhb	Goodbye	68942e2a	65-74	male	passive	0	0	There are no facts in this text. Therefore, the answer is 0.	younger than 45
-NKXpUfGKx3xHmqP6Hyb	So,  historically, the cheeses of true Ligurian pesto were Parmigiano-Reggiano and Pecorino Sardo (or Fiore Sardo), a Sardinian sheep's-milk cheese. However,  Pecorino Romano can be used as well.	ea5def48	55-64	female	active	3	2	2	45 or older
