conv_id	condition	step_n	nugget_count	intervention_type	question	answer	other	cooking_technique	equipment	ingredient	knowledge	meal	misc	preparation	recipe	temperature	time
c70f521	active	2	2	question	3	3	6	0	0	1	0	0	0	0	0	0	0
c70f521	active	4	0	statement	0	0	3	0	0	0	0	0	0	0	0	0	0
c70f521	active	4	0	question	4	4	5	0	0	0	1	0	0	1	0	0	0
4f7f5758	active	0	2	question	6	7	9	0	2	1	0	0	0	1	0	0	0
4f7f5758	active	3	0	statement	1	1	3	0	0	0	0	0	0	1	0	0	0
4f7f5758	active	4	0	statement	2	4	3	0	0	1	0	0	0	0	0	0	0
a9780bf6	active	22	1	question	4	3	3	0	0	0	0	0	0	0	0	0	0
a9780bf6	active	22	0	statement	2	1	5	0	0	0	0	0	0	0	0	0	0
a9780bf6	active	22	0	statement	0	1	2	0	0	0	0	0	0	0	0	0	0
a9780bf6	active	22	2	question	9	8	6	0	0	0	1	0	0	1	0	0	0
2424a396	active	4	4	statement	3	2	8	0	0	1	1	0	0	0	0	0	0
2424a396	active	5	1	question	3	3	5	0	0	0	1	0	0	0	0	0	1
2424a396	active	8	0	statement	0	0	6	0	0	0	0	0	0	0	0	0	0
