conv_id	condition	recipe_id	step_n	step_text	n_agent_utterances	n_user_utterances	knowledge	amount	cooking_technique	equipment	ingredient	meal	preparation	recipe	temperature	time	misc	total_images_sent	total_sources_used	wikipedia	seriousEats	stackExchangeCooking	excel
rEG2v4CE7m	active	597	6	Add 1/3 of beaten egg whites to béchamel base and stir well until whites are thoroughly combined and soufflé base has a looser consistency. Mix in Gruyère. Using a silicon spatula, gently fold remaining beaten egg whites into soufflé base until just combined.	5	11	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	2	
rEG2v4CE7m	active	597	7	Remove soufflé dish from refrigerator and set on rimmed baking sheet. Scrape soufflé batter into prepared baking dish, filling it up to the inner ridge, not to the top (discard any excess). If desired, using an offset or other spatula, gently smooth and level surface of the soufflé batter.	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rEG2v4CE7m	active	597	8	Transfer soufflé to oven and bake until well risen and nicely browned on top, about 30 minutes at 400°F for less set and 35 minute at 400°F for more set, and 35-40 minutes at 375°F for fully set.	6	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	
rEG2v4CE7m	active	597	9	Immediately transfer soufflé to table and serve before it deflates too much, scooping out portions onto each diner's plate.	5	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
XYjHSL2Ky3	active	120	0	1 cup (8 ounces) water 8 tablespoons (1 stick, 4 ounces) unsalted butter 3/4 teaspoon (about .15 ounces) kosher salt 1 1/4 cups (6.25 ounces) all-purpose flour 1 tablespoon Dijon mustard 1/2 cup (about 1 ounce) freshly grated Parmesan cheese 3 large eggs 2 tablespoons chopped fresh parsley leaves 2 tables finely sliced chives Olive oil Stand mixer	8	4	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	1	0	
XYjHSL2Ky3	active	120	1	Bring water, butter, and salt to a boil in a medium saucepan over high heat. Add flour all at once and stir with a wooden spoon until a smooth dough forms. Reduce heat to medium-low and continue to stir, beating dough forcefully and rapidly to prevent it from sticking to the pot. Continue cooking until dough pulls away from sides of pot leaving a thin layer and steams slightly.	8	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	
XYjHSL2Ky3	active	120	2	To Finish with Stand Mixer: Transfer hot dough to the bowl of a stand mixer fitted with a paddle attachment. Add mustard and cheese and beat on medium-low speed. Add eggs one at a time, allowing dough to fully incorporate egg before adding the next one. When final egg has been added, add herbs and beat to combine. Transfer mixture to a gallon-sized zipper-lock bag or a pastry bag fitted with a 1/2-inch tip. Proceed to Step 4.	6	4	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	1	
XYjHSL2Ky3	active	120	3	To Finish by Hand: Remove pot from heat. Add mustard and cheese and beat with wooden spoon until homogenous. Add eggs one at a time, beating vigorously with each addition to prevent eggs from curdling and allowing dough to fully incorporate egg before adding the next one. When final egg has been added, add herbs and beat to combine. Transfer mixture to a gallon-sized zipper-lock bag or a pastry bag fitted with a 1/2-inch tip.	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
XYjHSL2Ky3	active	120	4	Let mixture rest 15 to 25 minutes at room temperature. Meanwhile, bring a large pot of salted water to a simmer and have a rimmed baking sheet. If using a zipper-lock bag, cut off a 1/2-inch opening in one corner. Holding the bag over the boiling water, squeeze the mixture out of the bag, cutting it off with a paring knife into 1-inch lengths and letting them fall directly into the simmering water. Continue cutting off as many as you can in one minute, then stop.	9	7	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	2	
XYjHSL2Ky3	active	120	5	When all gnocchi have floated to the top, continue cooking until gnocchi are fully cooked to the center, about 3 minutes longer. Lift gnocchi with a fine mesh strainer or a metal spider and transfer to rimmed baking sheet. Drizzle with a little bit of olive oil and toss to coat. Repeat with remaining dough. Cooled gnocchi can be refrigerated until ready to continue cooking in either the Parisian Gnocchi with Roasted Cherry Tomatoes, Corn, and Zucchini, or in the Parisian Gnocchi Soufflé.	6	3	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	3	
8nJXjVjBTQ	active	158	0	2 medium cloves garlic 2 tablespoons (30g) pine nuts 3 ounces basil leaves (from about a 4-ounce bunch), washed with water still clinging to the leaves Coarse sea salt, as needed 3/4 ounce (about 2 tablespoons) grated Parmigiano Reggiano 3/4 ounce (about 2 tablespoons) Pecorino Fiore Sardo (see note) 3/4 cup (175ml) mildly flavored extra-virgin olive oil Marble mortar and wooden pestle	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
8nJXjVjBTQ	active	158	1	Using a mortar and pestle, pound the garlic to a paste.	14	13	3	0	0	1	0	0	4	0	0	0	0	2	3	0	0	0	3	
8nJXjVjBTQ	active	158	2	Add pine nuts and continue to crush with pestle, smashing and grinding them, until a sticky, only slightly chunky, beige paste forms.	11	10	3	0	0	0	0	0	1	0	0	0	0	0	7	3	0	1	3	
8nJXjVjBTQ	active	158	3	Add basil leaves, a handful at a time, and pound and grind against the walls of the mortar. Add pinch of salt with each handful to act as an abrasive. Continue until all basil leaves have been crushed to fine bits.	8	7	0	0	0	0	3	0	3	0	0	0	0	0	4	2	0	0	2	
8nJXjVjBTQ	active	158	4	Add both cheeses, then slowly drizzle in olive oil, working it into the pesto with the pestle until a fairly smooth, creamy, emulsified, sauce forms. Add more oil, if desired.	11	7	0	1	0	0	3	0	2	0	0	0	0	0	5	0	0	0	5	
8nJXjVjBTQ	active	158	5	Pesto can be served with pasta right away, or transferred to a jar or container, covered with a small layer of olive oil, sealed, and refrigerated overnight.	2	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	
5ed91d3f31d9c60a8ac27018	active	419	0	For the Filling: 8 ounces light brown sugar (1 cup, packed; 225g) 2 1/2 teaspoons ground cinnamon 3/4 teaspoon (3g) Diamond Crystal kosher salt (see note); for table salt, use about half as much by volume or the same weight 1/2 teaspoon ground ginger 1/4 teaspoon grated nutmeg 1/4 teaspoon ground cloves 4 1/4 pounds tart apples (about 8 large apples; 1.9kg), such as Granny Smith (see note) 1 ounce tapioca starch (1/4 cup, spooned; 25g), such as Bob's Red Mill Old-Fashioned Flaky Pie Dough, rolled and chilled per directions for a double crust For the Egg Wash: 1 large egg 1 large egg yolk 1/2 ounce heavy cream (1 tablespoon; 15g) 1/8 teaspoon (0.5g) Diamond Crystal kosher salt; for table salt, use half as much by volume or use the same weight Rolling pin pastry brush glass pie plate digital thermometer half sheet pan	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
5ed91d3f31d9c60a8ac27018	active	419	1	For the Filling: Combine brown sugar, cinnamon, salt, ginger, nutmeg, and cloves in a gallon-sized zip-top bag (do not add tapioca at this time). Peel, quarter, and core the apples, then slice into 1/2-inch wedges; significant deviation can change the consistency of the filling.	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
5ed91d3f31d9c60a8ac27018	active	419	2	Measure 50 ounces sliced apples (11 rounded cups; 1.45kg) into the bag, seal tightly, and tumble until roughly coated. Macerate at room temperature, flipping the bag occasionally to distribute the syrup, until the apples have lost a third of their volume, at least 3 hours. The apples can be held up to 8 hours in the fridge.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
5ed91d3f31d9c60a8ac27018	active	419	3	Add tapioca starch to the apples, reseal, and toss to combine. Pour apple filling into the prepared pie shell, nestling the slices into a flattish mound. Stand top crust a few seconds at room temperature until pliable, then drape on top. Pinch to seal both crusts together and trim to 3/4 inch. Tuck the dough under itself, so the pie looks something like a bonnet, or crimp into loose waves (the crust will not hold a tightly crimped design). Refrigerate the pie until cold and firm, at least 30 minutes or up to 1 hour. Meanwhile, adjust oven rack to lower-middle position and preheat to 400°F (200°C).	3	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
5ed91d3f31d9c60a8ac27018	active	419	4	For the Egg Wash: Whisk egg, yolk, cream, and salt together in a small bowl, then brush over the chilled pie. With a sharp knife, cut six 3-inch vents around the top, wiggling the blade left and right to open each into a wide vent.	14	7	2	0	0	0	0	0	0	0	0	0	0	2	7	0	0	1	6	
5ed91d3f31d9c60a8ac27018	active	419	5	To Bake: Place pie on a parchment-lined aluminum half sheet pan and bake until 195°F (91°C) in the very center, about 75 minutes. This is easiest to monitor with an in-oven digital thermometer, which can be programmed to chime on reaching the target temperature.	22	11	3	0	0	0	1	0	0	0	0	0	0	4	7	0	0	0	7	
612517df29cd32c6632b4a44	active	2180	0	1 whole duck (about 5 pounds; 2.25kg) Vegetable oil, for drizzling Kosher salt 1 medium carrot, diced 1 medium yellow onion, diced 1 large celery rib, diced 2 quarts (2 liters) brown beef or brown chicken stock (see note) 1 tablespoon (15ml) tomato paste (optional) 4 ounces (115g) granulated sugar (about 1/2 cup plus 1 tablespoon) 1/2 cup (120ml) red wine vinegar Zest of 1 navel orange or 2 bitter oranges, cleaned of any white pith and cut into a fine julienne 2 tablespoons (30ml) fresh navel orange juice or 1/4 cup (60ml) bitter orange juice 2 tablespoons (30ml) fresh lemon juice (omit if using bitter orange juice) Freshly ground white or black pepper 2 tablespoons (30g) cold unsalted butter 1 teaspoon (2.5g) cornstarch or arrowroot (optional, only if needed) Wire rack rimmed baking sheet instant read thermometer poultry shears (optional)	3	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	
612517df29cd32c6632b4a44	active	2180	1	If desired, you can spatchcock the duck (see note). To do so, use poultry shears to remove the backbone by cutting along both sides of the spine from the cavity to neck ends, then flip the duck and press down on the breast to flatten it.	6	4	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	2	Trim away any excess skin around the duck's neck and cavity openings. Cut off duck wingettes and wing tips at the joint, leaving the drumettes connected to the duck; remove neck and any giblets from the cavity. Refrigerate trimmed wing ends, neck, and spine (if using) until ready to make the sauce; reserve giblets and trimmed skin for another use, or discard.	3	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
612517df29cd32c6632b4a44	active	2180	3	Prick duck skin all over with a sharp paring knife, especially where the skin is thickest, being careful not to cut into the meat below. In a large pot of boiling water and while wearing heavy kitchen gloves to protect your hands from the heat, dip the duck into the water for 2 minutes. Remove, allowing boiling water to drain off before transferring duck, breast side up, to a wire rack set in a rimmed baking sheet.	3	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
612517df29cd32c6632b4a44	active	2180	4	Season duck all over, inside and out, with kosher salt. Refrigerate uncovered for at least 1 hour and up to 24 hours.	2	4	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	
612517df29cd32c6632b4a44	active	2180	5	When ready to roast the duck and make the sauce, preheat oven to 425°F (220°C) and set rack in middle position. Set trimmed wings and neck (plus backbone, if you've spatchcocked the duck) on a rimmed baking sheet along with the diced carrot, onion, and celery and drizzle lightly with oil, rubbing to coat all over; if using tomato paste (it will help darken an overly white stock), rub it all over the duck and vegetables as well.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	6	Roast duck trimmings and vegetables, stirring one or twice, until browned all over, about 25 minutes (check often, as you do not want anything to scorch or burn).	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	7	Add stock to a large saucepan and bring to a simmer. Transfer roasted duck trimmings and vegetables to the stock. Pour some boiling water onto the baking sheet and scrape up any browned bits, then add that liquid to the stock, as well.	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
612517df29cd32c6632b4a44	active	2180	8	Gently simmer stock and vegetables until reduced by about half, about 2 hours (timing can vary wildly as evaporation rates depend on the pot dimensions and other factors, so keep an eye on it); occasionally skim off and discard any scum or rendered fat that accumulates on the surface.	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	9	Fine-strain stock and discard solids. Add stock to a smaller saucepan and continue to gently simmer until reduced to about 1 cup (225ml); continue to occasionally skim off any scum. Set aside.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	10	Meanwhile, increase oven to 450°F (230°C). Roast duck (you can leave it on the wire rack set in the rimmed baking sheet) for 30 minutes; this can produce some smoke, so open your windows if necessary.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	11	Reduce oven to 300°F (150°C) and continue to roast duck until an instant-read thermometer registers around 175°F in the thickest parts of the thigh and breast, about 45 minutes if the duck is spatchcocked and 1 hour if whole (it's okay if some parts of the duck get hotter, it's meant to be well done and will not harm the duck). Remove duck from oven and set aside to rest.	3	4	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	
612517df29cd32c6632b4a44	active	2180	12	While duck is roasting, add sugar to a small saucepan. Add 1/4 cup water and set over medium heat. Stir with a fork until syrup comes to a boil, then simmer without stirring until syrup is honey-colored, roughly 6 minutes, shaking and swirling as needed to ensure even caramelization. Continue cooking until syrup is a rich mahogany color, about 4 minutes longer.	3	4	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	
612517df29cd32c6632b4a44	active	2180	13	Remove from heat and add vinegar in very small increments while carefully swirling the saucepan; the caramel will boil and bubble violently at first, so adding the vinegar in very small amounts at first will help prevent a boil-over. Once the gastrique has calmed down, you can add the remaining vinegar more quickly, swirling the whole time. Some of the caramel may seize up at first, but it will dissolve back into the solution on its own.	1	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	
612517df29cd32c6632b4a44	active	2180	14	Return gastrique to medium heat and bring back to a boil, then reduce heat to maintain a strong simmer and cook until it is very slightly reduced, about 2 minutes; stir, if needed, to dissolve any last traces of hardened sugar, then set aside.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	15	In a clean small saucepan, bring about 1 cup of water to a rolling boil. Add orange zest and cook until softened, about 2 minutes for navel orange zest and 15 minutes for bitter orange zest. Drain and set blanched zest aside.	4	3	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	
612517df29cd32c6632b4a44	active	2180	16	When ready to serve, return duck to oven just long enough to reheat and re-crisp the skin, 5 to 15 minutes, depending on how much it's cooled off.	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	17	Meanwhile, add navel orange and lemon juices (or bitter orange juice) to reduced stock and bring to a simmer. Simmer gently until reduced enough to lightly coat the back of a spoon, about 5 minutes.	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	18	Add gastrique 1 teaspoon at a time until sauce tastes nicely sharp with a clear sweet-sour character. You want to taste the gastrique but not have it clobber the sauce; too much can ruin the sauce (you may only need a 2 to 4 teaspoons to accomplish this). You will have leftover gastrique, which you can reserve for another use (it can be drizzled on grilled or roasted vegetables or used in another sauce).	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
612517df29cd32c6632b4a44	active	2180	19	Season sauce with salt and pepper. Working over very low heat, whisk in butter until the sauce is silky and smooth; do not allow it to boil once the butter is added, lest the sauce break.	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
612517df29cd32c6632b4a44	active	2180	20	The sauce at this point should lightly coat the back of a spoon, and if you drag your finger through it, it should leave a clear path. If it doesn't, it may be too thin (a sign your stock didn't have enough gelatin in it originally). If this happens, add 1 or 2 teaspoons cornstarch or arrowroot to a small bowl and stir in a spoonful or two of the sauce to make a slurry with no lumps, then whisk that slurry back into the sauce, allowing it to gently simmer for a minute or two to thicken the sauce.	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	21	Add blanched zest and let very gently simmer for 1 minute to infuse into the sauce.	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
612517df29cd32c6632b4a44	active	2180	22	Carve duck and serve, spooning sauce on top or alongside.	2	2	0	0	1	0	0	0	0	0	0	0	0	0	5	0	5	0	0	
57272517e386b9000e3e2b72	active	2331	0	2 tablespoons paprika 2 tablespoons freshly ground black pepper 2 teaspoons garlic powder 2 teaspoons dried oregano 1/2 teaspoon cayenne pepper 1 cup buttermilk 1 large egg Kosher salt One whole chicken, about 4 pounds, cut into 10 pieces or 3 1/2 pounds bone-in, skin-on breasts, legs, drumsticks, and/or wings 1 1/2 cups all purpose flour 1/2 cup cornstarch 1 teaspoon baking powder 4 cups vegetable shortening or peanut oil Wok or chicken fryer	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57272517e386b9000e3e2b72	active	2331	1	Combine the paprika, black pepper, garlic powder, oregano, and cayenne in a small bowl and mix thoroughly with a fork.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57272517e386b9000e3e2b72	active	2331	2	Whisk the buttermilk, egg, 1 tablespoon salt, and 2 tablespoons of the spice mixture in a large bowl. Add the chicken pieces and toss and turn to coat. Transfer the contents of the bowl to a gallon-sized zipper-lock freezer bag and refrigerate for at least 4 hours, and up to overnight, flipping the bag occasionally to redistribute the contents and coat the chicken evenly.	5	8	4	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	4	
57272517e386b9000e3e2b72	active	2331	3	Whisk together the flour, cornstarch, baking powder, 2 teaspoons salt, and the remaining spice mixture in a large bowl. Add 3 tablespoons of the marinade from the zipper-lock bag and work it into the flour with your fingertips. Remove one piece of chicken from the bag, allowing excess buttermilk to drip off, drop the chicken into the flour mixture, and toss to coat. Continue adding chicken pieces to the flour mixture one at a time until they are all in the bowl. Toss the chicken until every piece is thoroughly coated, pressing with your hands to get the flour to adhere in a thick layer.	5	6	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	
57272517e386b9000e3e2b72	active	2331	4	Adjust an oven rack to the middle position and preheat the oven to 350°F. Heat the shortening or oil to 425°F in a 12-inch straight-sided cast-iron chicken fryer or a large wok over medium-high heat. Adjust the heat as necessary to maintain the temperature, being careful not to let the fat get any hotter.	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
57272517e386b9000e3e2b72	active	2331	5	One piece at a time, transfer the coated chicken to a fine-mesh strainer and shake to remove excess flour. Transfer to a wire rack set on a rimmed baking sheet. Once all the chicken pieces are coated, place skin side down in the pan. The temperature should drop to 300°F; adjust the heat to maintain the temperature at 300°F for the duration of the cooking. Fry the chicken until it’s a deep golden brown on the first side, about 6 minutes; do not move the chicken or start checking for doneness until it has fried for at least 3 minutes, or you may knock off the coating. Carefully flip the chicken pieces with tongs and cook until the second side is golden brown, about 4 minutes longer.	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
57272517e386b9000e3e2b72	active	2331	6	Transfer chicken to a clean wire rack set in a rimmed baking sheet, season lightly with salt, and place in the oven. Bake until thickest part of breast pieces registers 150°F (65.5°C) on an instant-read thermometer, and thigh/drumstick pieces register 165°F (74°C), 5 to 10 minutes; remove chicken pieces as they reach their target temperature, and transfer to a second wire rack set in a rimmed baking sheet, or a paper towel-lined plate. Season with salt to taste. Serve immediately—or, for extra-crunchy fried chicken, proceed to step 7.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
57272517e386b9000e3e2b72	active	2331	7	Place the plate of cooked chicken in the refrigerator for at least 1 hour, and up to overnight. When ready to serve, reheat the oil to 400°F. Add the chicken pieces and cook, flipping them once halfway through cooking, until completely crisp, about 5 minutes. Transfer to a wire rack set on a rimmed baking sheet to drain, then serve immediately.	3	5	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
5e45a7e926e79c000bc12a85	active	2331	0	2 tablespoons paprika 2 tablespoons freshly ground black pepper 2 teaspoons garlic powder 2 teaspoons dried oregano 1/2 teaspoon cayenne pepper 1 cup buttermilk 1 large egg Kosher salt One whole chicken, about 4 pounds, cut into 10 pieces or 3 1/2 pounds bone-in, skin-on breasts, legs, drumsticks, and/or wings 1 1/2 cups all purpose flour 1/2 cup cornstarch 1 teaspoon baking powder 4 cups vegetable shortening or peanut oil Wok or chicken fryer	9	7	1	0	1	0	1	0	0	0	0	0	0	0	3	0	0	2	1	
5e45a7e926e79c000bc12a85	active	2331	1	Combine the paprika, black pepper, garlic powder, oregano, and cayenne in a small bowl and mix thoroughly with a fork.	4	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
5e45a7e926e79c000bc12a85	active	2331	2	Whisk the buttermilk, egg, 1 tablespoon salt, and 2 tablespoons of the spice mixture in a large bowl. Add the chicken pieces and toss and turn to coat. Transfer the contents of the bowl to a gallon-sized zipper-lock freezer bag and refrigerate for at least 4 hours, and up to overnight, flipping the bag occasionally to redistribute the contents and coat the chicken evenly.	13	5	2	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	7	
5e45a7e926e79c000bc12a85	active	2331	3	Whisk together the flour, cornstarch, baking powder, 2 teaspoons salt, and the remaining spice mixture in a large bowl. Add 3 tablespoons of the marinade from the zipper-lock bag and work it into the flour with your fingertips. Remove one piece of chicken from the bag, allowing excess buttermilk to drip off, drop the chicken into the flour mixture, and toss to coat. Continue adding chicken pieces to the flour mixture one at a time until they are all in the bowl. Toss the chicken until every piece is thoroughly coated, pressing with your hands to get the flour to adhere in a thick layer.	9	5	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	6	
5e45a7e926e79c000bc12a85	active	2331	4	Adjust an oven rack to the middle position and preheat the oven to 350°F. Heat the shortening or oil to 425°F in a 12-inch straight-sided cast-iron chicken fryer or a large wok over medium-high heat. Adjust the heat as necessary to maintain the temperature, being careful not to let the fat get any hotter.	6	6	1	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	3	
5e45a7e926e79c000bc12a85	active	2331	5	One piece at a time, transfer the coated chicken to a fine-mesh strainer and shake to remove excess flour. Transfer to a wire rack set on a rimmed baking sheet. Once all the chicken pieces are coated, place skin side down in the pan. The temperature should drop to 300°F; adjust the heat to maintain the temperature at 300°F for the duration of the cooking. Fry the chicken until it’s a deep golden brown on the first side, about 6 minutes; do not move the chicken or start checking for doneness until it has fried for at least 3 minutes, or you may knock off the coating. Carefully flip the chicken pieces with tongs and cook until the second side is golden brown, about 4 minutes longer.	3	4	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	
5e45a7e926e79c000bc12a85	active	2331	6	Transfer chicken to a clean wire rack set in a rimmed baking sheet, season lightly with salt, and place in the oven. Bake until thickest part of breast pieces registers 150°F (65.5°C) on an instant-read thermometer, and thigh/drumstick pieces register 165°F (74°C), 5 to 10 minutes; remove chicken pieces as they reach their target temperature, and transfer to a second wire rack set in a rimmed baking sheet, or a paper towel-lined plate. Season with salt to taste. Serve immediately—or, for extra-crunchy fried chicken, proceed to step 7.	5	6	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	
