conv_id	condition	utterance_id	participant	length_char	length_words	utterance
o9UbVjHVrS	active	-NBMHNUQsLHQZmTaHoyE	user	12	3	No thank you
o9UbVjHVrS	active	-NBMHOHW--XvK8Aj_KCC	user	17	3	you've been great
o9UbVjHVrS	active	-NBMHQdNcH-J58lGxLnd	agent	10	2	Thanks :-D
rEG2v4CE7m	active	-NBHeZwsWGPwRNH9Q1Fb	agent	260	48	Hey there! Happy to have you on board for our masterclass :) Today you will be learning how to prepare a Savory Cheese Soufflé. Make sure you have all the ingredients and tools and feel free to ask questions. If you are ready to start cooking simply say start.
rEG2v4CE7m	active	-NBHebQC7zIEy55TzVyM	user	5	1	start
rEG2v4CE7m	active	-NBHenPdUfRSosxyO9OA	agent	23	6	Hi. How can I help you?
rEG2v4CE7m	active	-NBHerIWw1GNFXMu1hb9	user	5	1	start
rEG2v4CE7m	active	-NBHetbYzCC76mq_YOwD	user	13	2	start cooking
rEG2v4CE7m	active	-NBHevaATffqccE0GJOo	user	5	1	ready
rEG2v4CE7m	active	-NBHf2BSsMlJyuFm0gNT	agent	74	15	This is step 1. Let me know if you have any questions regarding this step.
rEG2v4CE7m	active	-NBHf9_Gu0TjdjOKsyNQ	user	4	1	next
rEG2v4CE7m	active	-NBHfC0ZKkrIZNRzOEHJ	user	6	1	images
rEG2v4CE7m	active	-NBHfG8JspiN_68_9iJ5	user	18	4	what is a souffle?
rEG2v4CE7m	active	-NBHfIZZjEJQbRsNEODc	user	6	2	step 2
rEG2v4CE7m	active	-NBHfJosrREWUi1-66i4	user	4	1	Next
rEG2v4CE7m	active	-NBHfKl45JkHOPnIK2gI	user	4	1	NEXT
rEG2v4CE7m	active	-NBHfLlt-SvftQTE1jup	agent	10	2	One second
rEG2v4CE7m	active	-NBHfNbeRe5O_i7t09Hi	agent	34	6	Let me answer your question first.
rEG2v4CE7m	active	-NBHfYbw4lP9Y_HvhoJh	user	23	5	How long will you take?
rEG2v4CE7m	active	-NBHfZhL3hoE7DFG4wqq	user	4	1	next
rEG2v4CE7m	active	-NBHfe3qcckScMYdhqU6	agent	82	16	As specified, it my take up to one minute to receive a response. Please be patient
rEG2v4CE7m	active	-NBHfpBpcCEwW3CggiT9	agent	377	61	So a soufflé is a fundamentally simple thing that leverages the power of eggs to achieve impressive results.  All classic soufflés, sweet and savory, start with a base that provides richness and structure.  In savory soufflés, like the cheese soufflé I'm demonstrating here, the base is a thick béchamel sauce, usually calling for about three tablespoons flour per cup of milk.
rEG2v4CE7m	active	-NBHfwN2jweVVRbbzJlT	agent	15	3	Was it helpful?
rEG2v4CE7m	active	-NBHg_oGNHIzNYBlhJmB	user	10	2	yes thanks
rEG2v4CE7m	active	-NBHgaTTMyjKIn7_e_8H	agent	99	17	For the first step, I also want to highlight that using Parmigiano cheese there is quite important!
rEG2v4CE7m	active	-NBHgblOt5_cuIQcGDkh	user	4	1	next
rEG2v4CE7m	active	-NBHgmiJWMnloSLghKlk	agent	88	17	Before going next, what do you think, why this type of cheese is a crucial factor there?
rEG2v4CE7m	active	-NBHgpEkYIR6fLoQhFvU	user	5	1	taste
rEG2v4CE7m	active	-NBHh2BCc9yZYlGrpD9t	agent	137	28	To some extent yes. It helps to form a delicious crispy crust, but don't mix it into the soufflé itself. This it how it looks in the end:
rEG2v4CE7m	active	-NBHh5wzRACpTzAKDPUx	user	15	2	looks delicious
rEG2v4CE7m	active	-NBHh8k9FmKBWsC5k-l9	agent	18	3	It does, right? :)
rEG2v4CE7m	active	-NBHhDLIxBFkdc1wFoxX	user	21	3	why whisk constantly?
rEG2v4CE7m	active	-NBHhHjHrXrJhfqXytk8	agent	34	5	Excellent question!  Let me see...
rEG2v4CE7m	active	-NBHhlBVHSLeNtDv1yeA	agent	289	50	As specified earlier, in savory soufflés, like the cheese soufflé, the base is a thick béchamel sauce, usually calling for about three tablespoons flour per cup of milk. By whisking it constantly you ensure that it turns into a silky but pourable sauce, like the gravy you get on biscuits.
rEG2v4CE7m	active	-NBHhnhnytomgaDjD_hb	user	4	1	nice
rEG2v4CE7m	active	-NBHhpm6fQha4VMrdszi	user	11	2	next please
rEG2v4CE7m	active	-NBHi3P31KsGZsu4BXZB	agent	92	18	But be careful. The amount of flour you are using here is also very crucial for the outcome!
rEG2v4CE7m	active	-NBHiJtNnmc7JB7pgine	user	4	1	okay
rEG2v4CE7m	active	-NBHiPSIBSZAjzC7dlQQ	user	42	9	chill though bruv no need to be so serious
rEG2v4CE7m	active	-NBHiScPFe3C7aGU3ZcX	user	4	1	next
rEG2v4CE7m	active	-NBHigGRmaNXkLXOGVup	agent	99	19	Sorry don't want to seem serious. I just want to emphasise this. Do you know why this is important?
rEG2v4CE7m	active	-NBHilmlVDz6sjESJ_3M	user	12	3	no pray tell
rEG2v4CE7m	active	-NBHiuqCd0JKbZ9aTFtu	agent	193	38	Add too much more flour, for example, and your soufflé is going to start to resemble a cake; too little and it'll be too thin to hold its shape, spilling up and over the sides of its container.
rEG2v4CE7m	active	-NBHj0UnxTuOZN5KjLvB	user	14	3	okay thank you
rEG2v4CE7m	active	-NBHj14Wc9wv7AuAbxVZ	user	4	1	next
rEG2v4CE7m	active	-NBHj6QnFACDFCJNbxsA	user	26	5	why is the bowl heatproof?
rEG2v4CE7m	active	-NBHjC7uTD5cY2n5-BZl	agent	15	4	Let me tell you
rEG2v4CE7m	active	-NBHjqRJORBTePvHfjvQ	agent	167	31	The reason is that you cooked the béchamel sauce in the step before. By pouring it into a heatproof mixing bowl you prevent damages that might come from the hot sauce.
rEG2v4CE7m	active	-NBHkVWLYxTdy1iZsT7J	user	4	1	cool
rEG2v4CE7m	active	-NBHkWIvHPTXNGUfAkDW	user	4	1	next
rEG2v4CE7m	active	-NBHkaY6rxj3keCo6Tu1	user	18	3	why Dijon mustard?
rEG2v4CE7m	active	-NBHl1xjofreudY5b-CH	agent	252	47	It's something to do with the seasonings. Basically, along with the yolks go any seasonings you may want; they're not essential beyond salt and pepper, but you can punch up the flavor with a spoonful of mustard or a few dashes of hot sauce if you want.
rEG2v4CE7m	active	-NBHl91o8SP7kebZZraz	user	4	1	next
rEG2v4CE7m	active	-NBHlHqxpxnlDKv6xP5f	agent	173	31	Seasonings are important here, but egg yolks are at the center of this step. Don't forget to add them since the make an important contribution to the success of the soufflé.
rEG2v4CE7m	active	-NBHlKc8f7nI5W8YggO_	user	4	1	next
rEG2v4CE7m	active	-NBHlUycweBFwsuZ9waP	agent	79	15	Before going next, what do you think is the important thing about the egg yolk?
rEG2v4CE7m	active	-NBHlkDN4pqW4zqnxix2	user	12	3	i don't know
rEG2v4CE7m	active	-NBHlrlKHBVAwmsJkUsK	agent	236	43	Egg yolks get whisked in for even more richness, and, when in the oven, coagulation—as the eggs cook, they set, just like when you fry or scramble them, allowing the soufflé to hold onto its loft for at least some time before deflating.
rEG2v4CE7m	active	-NBHlu-jnEv4F57xG4Tl	user	9	2	okay cool
rEG2v4CE7m	active	-NBHludvMYGiZuolOtEi	user	4	1	next
rEG2v4CE7m	active	-NBHlvIfG0_NfA5lNmqB	agent	19	2	interesting, right?
rEG2v4CE7m	active	-NBHlx5fTueerhNLTDC0	user	3	1	yes
rEG2v4CE7m	active	-NBHm-YHOjtA5CFkSWDh	user	29	7	why do we use cream of tatar?
rEG2v4CE7m	active	-NBHmmck1F9bCXuwjSgq	agent	388	64	Actually it's some sort of policy against over-beaten egg whites. You can either use an expensive copper egg-beating bowl, which helps form more stable beaten whites that are less prone to breaking and weeping (the copper interferes with too-strong sulfur bonds from forming). You can add a little cream of tartar to the whites, an acid that also prevents those sulfur bonds from forming.
rEG2v4CE7m	active	-NBHmrTWB_TSzfXyGRlA	agent	120	23	So to sum it up, if you want an insurance policy against messed-up egg whites, copper or cream of tartar are good ideas.
rEG2v4CE7m	active	-NBHmwl95-RzoKwPuIJu	user	11	2	okay thanks
rEG2v4CE7m	active	-NBHmxfU2oJlYrxj0UMf	user	4	1	next
rEG2v4CE7m	active	-NBHn0irPW_DIsOOta2z	agent	49	9	I'm curious. Did you try do make soufflés before?
rEG2v4CE7m	active	-NBHn4N6j-lozjOpasgV	user	5	1	never
rEG2v4CE7m	active	-NBHn7BgVSLTzfuecejj	user	20	5	i will do now though
rEG2v4CE7m	active	-NBHn8_3XJt5Gq0JZvGH	user	5	2	n ext
rEG2v4CE7m	active	-NBHn9JyDhIHBId5v-_A	agent	19	4	Happy to hear that.
rEG2v4CE7m	active	-NBHn9tNI92pqIFGB3h_	user	4	1	next
rEG2v4CE7m	active	-NBHnHAjDosMFGiG1LoH	agent	83	17	Before we proceed and since you want to do this anyway, I have another hint for you
rEG2v4CE7m	active	-NBHnJMAAe1RPBFePnc5	user	4	1	okay
rEG2v4CE7m	active	-NBHnKZzaUr0s_z-_Ir3	user	7	2	tell me
rEG2v4CE7m	active	-NBHnRK7I724bXIhPnR7	agent	72	13	When whisking the egg whites, the shape of the glossy peak is important.
rEG2v4CE7m	active	-NBHnTFARO4D6TQj0qZZ	user	7	2	ah why?
rEG2v4CE7m	active	-NBHn_2WJe8CofGqpqxw	agent	63	14	It needs to be firm just like on the right part of the picture:
rEG2v4CE7m	active	-NBHnbttkfPQPgi217jv	user	14	3	okay thank you
rEG2v4CE7m	active	-NBHncWXA-6v2fKBt3aK	user	4	1	next
rEG2v4CE7m	active	-NBHnetHocumQtmMGFtI	user	4	1	next
rEG2v4CE7m	active	-NBHnjTHqLLgahf0s6Ib	user	4	1	next
rEG2v4CE7m	active	-NBHntKlEyq5pZIP_o5W	agent	91	18	So Step 6 is the whisking part. This is also very crucial for the success of your soufflée.
rEG2v4CE7m	active	-NBHnvRUaiJvLgljwiGf	user	4	1	okay
rEG2v4CE7m	active	-NBHnxdU5z0vhwOXUS9G	user	4	1	next
rEG2v4CE7m	active	-NBHnzz-ibs-IrOtKOqu	user	24	5	how many steps are left?
rEG2v4CE7m	active	-NBHo7L6TEG8b3mY8AzT	agent	113	20	So don't forget to gently fold the beaten egg whites. This is important for the chemical reaction going on there.
rEG2v4CE7m	active	-NBHoA57jcwpPTGd0JIp	agent	44	8	After this step, there are three steps left.
rEG2v4CE7m	active	-NBHoSp1UwUddK6eGp9X	user	4	1	okay
rEG2v4CE7m	active	-NBHoTKn8LIjSpCGswpu	user	4	1	next
rEG2v4CE7m	active	-NBHoYNZuAL9OlDqx8jY	user	18	4	can we go quicker?
rEG2v4CE7m	active	-NBHod6yOvfhYa_bNlK1	user	4	1	next
rEG2v4CE7m	active	-NBHohL6WnJpYOzSflh8	agent	47	9	Why do you think the folding part is important?
rEG2v4CE7m	active	-NBHozO8OOvSE8xwwOqR	user	11	1	consistency
rEG2v4CE7m	active	-NBHp-K-b3Zcmy4m-iRt	user	4	1	next
rEG2v4CE7m	active	-NBHpCIYITXeAHqXZ33p	agent	530	99	Kind of. That gentle folding is key, since you want to keep as many of the tiny air bubbles trapped in the beaten whites as you can. The more you mix, and the more vigorously you do it, the more air bubbles you'll lose. Once in the oven, those air bubbles will expand as gases and steam inflate them. That's what causes a soufflé to rise, and really, there's no stopping it—your beaten whites will contain air bubbles and those air bubbles will expand, and when they do your soufflé will push higher and higher in its baking dish.
rEG2v4CE7m	active	-NBHpGXmoRda2fcV7DPq	user	10	2	oka thanks
rEG2v4CE7m	active	-NBHpH5QoqwZZLZbwFkz	user	4	1	next
rEG2v4CE7m	active	-NBHpIsT-cdq0eL5Qsne	agent	67	11	You see, a soufflée requires some patience to be done successfully.
rEG2v4CE7m	active	-NBHpPGRHmGFD0dS65s1	user	3	1	yes
rEG2v4CE7m	active	-NBHpPvyXjCkVhqVmBO2	user	4	1	next
rEG2v4CE7m	active	-NBHpScHsZyo5m0gLGmP	user	4	1	next
rEG2v4CE7m	active	-NBHpVIrNLr19Bl4DdHc	agent	44	10	Now we are ready to transfer it to the oven.
rEG2v4CE7m	active	-NBHpX7_dnqaYV-TIO5G	user	4	1	okay
rEG2v4CE7m	active	-NBHpX__8ImAi0uh1C8G	user	4	1	next
rEG2v4CE7m	active	-NBHpdo6Cvl1GkMRBOwb	agent	67	10	The temperature will highly affect the consistency of your soufflée
rEG2v4CE7m	active	-NBHpfk4GA9haotOuN3u	user	4	1	okay
rEG2v4CE7m	active	-NBHpgLROd-ww7FhwFRD	user	4	1	next
rEG2v4CE7m	active	-NBHpwudOxU4F4oW4sR5	agent	147	28	Quiz time: What happens if you choose a temperature that's a bit higher than indicated here and what happens if you choose one that is a bit lower?
rEG2v4CE7m	active	-NBHq2gJ0W5qKqYHwJ3C	user	32	8	it will be flat or rise too high
rEG2v4CE7m	active	-NBHq3eYYeu6-X37JfM5	user	4	1	next
rEG2v4CE7m	active	-NBHqFYrMYsV4RPsLCDh	agent	398	76	You're right! The hotter the oven, the more quickly and fully the soufflé will rise, and the faster it will brown and set on the outside. But the soufflé is also more likely to remain runny in the center, since it'd come close to burning on the outside if you were to leave it long enough to cook through to the center. If you like a fully set soufflé, a lower temperature might be your preference.
rEG2v4CE7m	active	-NBHqHStaJb2YKpSh_lU	agent	13	2	Alright then.
rEG2v4CE7m	active	-NBHqIksxQHmARyzmpFO	agent	13	3	Let's move on
rEG2v4CE7m	active	-NBHqMXSBzKt_jGEhifh	user	9	1	delicious
rEG2v4CE7m	active	-NBHqRcb60FyJ6q73znQ	agent	15	4	Oh yes it is :)
rEG2v4CE7m	active	-NBHqXceUbqHiSNOiVYT	agent	78	15	No that you know all these things, your soufflée will be a success for sure ;)
rEG2v4CE7m	active	-NBHqZtpqhJJCqPlOCty	user	9	2	thank you
rEG2v4CE7m	active	-NBHqb6rncX2biIRp39P	agent	14	2	You're welcome
rEG2v4CE7m	active	-NBHqeOF1Hj3X342LltC	user	17	3	have we finished?
rEG2v4CE7m	active	-NBHqi_z8UAOFQuomYNp	user	4	1	next
rEG2v4CE7m	active	-NBHqjK8Z4CLqcYLRAuQ	agent	25	6	Do you want to hear more?
rEG2v4CE7m	active	-NBHqmeBKPExFsuEToBm	user	10	2	not really
rEG2v4CE7m	active	-NBHqoHcbmXcfPD9h-RS	agent	29	6	Thank you. You’re at the end.
XYjHSL2Ky3	active	-NBWtLIIwJAKQbUNUnlr	agent	253	46	Hey there! Happy to have you on board for our masterclass :) Today you will be learning how to prepare Parisian Gnocchi. Make sure you have all the ingredients and tools and feel free to ask questions. If you are ready to start cooking simply say start.
XYjHSL2Ky3	active	-NBWtPiRjCQTCsjkjlKt	user	5	1	start
XYjHSL2Ky3	active	-NBWtT9wHv4CIa-1ZEdu	agent	27	6	Hello.  How can I help you?
XYjHSL2Ky3	active	-NBWtXiRpKxpMalxeXKZ	user	24	5	Can I use salted butter?
XYjHSL2Ky3	active	-NBWtZkRRFwj2Y7nzxL4	agent	13	3	Let me see...
XYjHSL2Ky3	active	-NBWu1t9-rz2ls7Zhb8C	agent	49	10	I'm sorry, I do not think I have this information
XYjHSL2Ky3	active	-NBWu3NBedRYhyLQNlym	agent	17	4	But what I found:
XYjHSL2Ky3	active	-NBWuNShoPiH6IJHV-4H	user	26	5	can I use English mustard?
XYjHSL2Ky3	active	-NBWuOW7FKQsLds-Xlzn	agent	208	37	Gnocchi are commonly cooked on their own in salted boiling water and then dressed with various sauces depending on the type of gnocchi and recipe used. Adding salted butter as well might be too much salt then
XYjHSL2Ky3	active	-NBWuThRXPydHdT5iZ6R	agent	13	3	Let me see...
XYjHSL2Ky3	active	-NBWulBHUXHghIEW076W	agent	156	28	Dijon bought in France or French brands bought in England (Maille usually) is very close to English mustard in taste. So you can use that as an alternative.
XYjHSL2Ky3	active	-NBWusVqdba14xVsrHz_	user	4	1	Next
XYjHSL2Ky3	active	-NBWuuk1EnLzQQHHIck1	agent	15	3	Was it helpful?
XYjHSL2Ky3	active	-NBWuvft8QBdaHWDm9O0	user	3	1	yes
XYjHSL2Ky3	active	-NBWuyTSf0CoHEIQs7aZ	agent	18	4	Happy to hear that
XYjHSL2Ky3	active	-NBWv4cRIB8e2WB_cQrl	user	4	1	next
XYjHSL2Ky3	active	-NBWv9gLuhSshh2PO8tn	agent	77	15	So this step is about making hot dough which is quite different to cold dough
XYjHSL2Ky3	active	-NBWvLqy-bZ19xypOffq	agent	82	14	Having a hot dough has significant effects on the shape of the parisian gnocchi :)
XYjHSL2Ky3	active	-NBWviST5WObcKbsLeMo	user	4	1	next
XYjHSL2Ky3	active	-NBWvscsO03uN8pPob-r	agent	139	26	Before going next, I am sure you want to learn about this difference. What do you think, what is the difference between cold and hot dough?
XYjHSL2Ky3	active	-NBWw3TR9epZDPYu5tN-	user	33	6	hot dough has a different texture
XYjHSL2Ky3	active	-NBWwN3ibKIZn3Ti5mwJ	user	3	1	nex
XYjHSL2Ky3	active	-NBWwPL_UuSG9c5ffQU1	agent	246	42	That's true! hot water dough is easy-to-shape the stretching is easy, and, what's more, the gnocchi keep their stretched-out shape even after they begin to cool, ensuring that they stay light and tender no matter how we choose to finish them off.
XYjHSL2Ky3	active	-NBWwTmKtA-iVRpR-u1Q	agent	61	10	The chemical process behind that is very interesting as well!
XYjHSL2Ky3	active	-NBWw_b9n-_Y__bPsEjr	user	4	1	next
